Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-11-14,6:00 PM,7:00 PM,San Jose Sharks,2,New York Rangers,3,Regulation
2024-11-14,6:30 PM,7:30 PM,St. Louis Blues,3,Buffalo Sabres,4,OT
2024-11-14,7:00 PM,8:00 PM,Boston Bruins,2,Dallas Stars,7,Regulation
2024-11-14,7:00 PM,8:00 PM,Montreal Canadiens,0,Minnesota Wild,3,Regulation
2024-11-14,8:00 PM,9:00 PM,Nashville Predators,2,Edmonton Oilers,3,OT
2024-11-14,9:00 PM,10:00 PM,New York Islanders,5,Vancouver Canucks,2,Regulation
2024-11-14,9:00 PM,10:00 PM,Chicago Blackhawks,1,Seattle Kraken,3,Regulation
2024-11-15,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Columbus Blue Jackets,6,Regulation
2024-11-15,8:00 PM,9:00 PM,Washington Capitals,5,Colorado Avalanche,2,Regulation
2024-11-15,8:00 PM,9:00 PM,Nashville Predators,0,Calgary Flames,2,Regulation
2024-11-15,8:00 PM,9:00 PM,Vegas Golden Knights,4,Utah Hockey Club,2,Regulation
2024-11-15,9:00 PM,10:00 PM,Detroit Red Wings,4,Anaheim Ducks,6,Regulation
2024-11-16,12:00 PM,1:00 PM,St. Louis Blues,3,Boston Bruins,2,OT
2024-11-16,3:00 PM,4:00 PM,New York Islanders,2,Seattle Kraken,3,Regulation
2024-11-16,6:00 PM,7:00 PM,Edmonton Oilers,3,Toronto Maple Leafs,4,OT
2024-11-16,6:00 PM,7:00 PM,Columbus Blue Jackets,1,Montreal Canadiens,5,Regulation
2024-11-16,6:00 PM,7:00 PM,New Jersey Devils,0,Tampa Bay Lightning,4,Regulation
2024-11-16,6:00 PM,7:00 PM,Winnipeg Jets,0,Florida Panthers,5,Regulation
2024-11-16,6:00 PM,7:00 PM,Buffalo Sabres,2,Philadelphia Flyers,5,Regulation
2024-11-16,6:00 PM,7:00 PM,San Jose Sharks,3,Pittsburgh Penguins,4,SO
2024-11-16,6:00 PM,7:00 PM,Ottawa Senators,0,Carolina Hurricanes,4,Regulation
2024-11-16,7:00 PM,8:00 PM,Dallas Stars,2,Minnesota Wild,1,Regulation
2024-11-16,7:00 PM,8:00 PM,Detroit Red Wings,1,Los Angeles Kings,4,Regulation
2024-11-16,9:00 PM,10:00 PM,Chicago Blackhawks,1,Vancouver Canucks,4,Regulation
2024-11-17,4:00 PM,5:00 PM,St. Louis Blues,1,Carolina Hurricanes,4,Regulation
2024-11-17,7:00 PM,8:00 PM,Washington Capitals,5,Vegas Golden Knights,2,Regulation
2024-11-17,8:00 PM,9:00 PM,New York Rangers,2,Seattle Kraken,0,Regulation
2024-11-17,9:00 PM,10:00 PM,Nashville Predators,5,Vancouver Canucks,3,Regulation
2024-11-18,6:00 PM,7:00 PM,Columbus Blue Jackets,5,Boston Bruins,1,Regulation
2024-11-18,6:00 PM,7:00 PM,Colorado Avalanche,3,Philadelphia Flyers,2,Regulation
2024-11-18,6:30 PM,7:30 PM,Edmonton Oilers,0,Montreal Canadiens,3,Regulation
2024-11-18,7:00 PM,8:00 PM,Anaheim Ducks,4,Dallas Stars,2,Regulation
2024-11-18,8:00 PM,9:00 PM,Washington Capitals,6,Utah Hockey Club,2,Regulation
2024-11-18,9:30 PM,10:30 PM,Detroit Red Wings,4,San Jose Sharks,5,OT
2024-11-19,6:00 PM,7:00 PM,Edmonton Oilers,5,Ottawa Senators,2,Regulation
2024-11-19,6:00 PM,7:00 PM,Tampa Bay Lightning,3,Pittsburgh Penguins,2,OT
2024-11-19,7:00 PM,8:00 PM,Minnesota Wild,4,St. Louis Blues,2,Regulation
2024-11-19,7:00 PM,8:00 PM,Florida Panthers,3,Winnipeg Jets,6,Regulation
2024-11-19,7:30 PM,8:30 PM,Anaheim Ducks,3,Chicago Blackhawks,2,Regulation
2024-11-19,8:00 PM,9:00 PM,New York Islanders,1,Calgary Flames,2,SO
2024-11-19,9:00 PM,10:00 PM,New York Rangers,4,Vancouver Canucks,3,Regulation
2024-11-20,6:30 PM,7:30 PM,Vegas Golden Knights,0,Toronto Maple Leafs,3,Regulation
2024-11-20,6:30 PM,7:30 PM,Carolina Hurricanes,4,Philadelphia Flyers,1,Regulation
2024-11-20,7:00 PM,8:00 PM,San Jose Sharks,2,Dallas Stars,5,Regulation
2024-11-20,9:00 PM,10:00 PM,Nashville Predators,0,Seattle Kraken,3,Regulation
2024-11-20,9:30 PM,10:30 PM,Buffalo Sabres,1,Los Angeles Kings,0,Regulation
2024-11-21,6:00 PM,7:00 PM,Utah Hockey Club,0,Boston Bruins,1,Regulation
2024-11-21,6:00 PM,7:00 PM,Vegas Golden Knights,3,Ottawa Senators,2,Regulation
2024-11-21,6:00 PM,7:00 PM,New York Islanders,1,Detroit Red Wings,2,Regulation
2024-11-21,6:00 PM,7:00 PM,Carolina Hurricanes,2,New Jersey Devils,4,Regulation
2024-11-21,6:00 PM,7:00 PM,Colorado Avalanche,2,Washington Capitals,1,Regulation
2024-11-21,6:00 PM,7:00 PM,Tampa Bay Lightning,6,Columbus Blue Jackets,7,OT
2024-11-21,7:00 PM,8:00 PM,San Jose Sharks,2,St. Louis Blues,3,SO
2024-11-21,7:30 PM,8:30 PM,Florida Panthers,1,Chicago Blackhawks,3,Regulation
2024-11-21,8:00 PM,9:00 PM,New York Rangers,2,Calgary Flames,3,Regulation
2024-11-21,8:00 PM,9:00 PM,Minnesota Wild,5,Edmonton Oilers,3,Regulation
2024-11-22,6:00 PM,7:00 PM,Winnipeg Jets,4,Pittsburgh Penguins,1,Regulation
2024-11-22,9:00 PM,10:00 PM,Buffalo Sabres,3,Anaheim Ducks,2,OT
2024-11-23,12:00 PM,1:00 PM,Chicago Blackhawks,2,Philadelphia Flyers,3,OT
2024-11-23,3:00 PM,4:00 PM,Minnesota Wild,3,Calgary Flames,4,SO
2024-11-23,3:00 PM,4:00 PM,Seattle Kraken,1,Los Angeles Kings,2,Regulation
2024-11-23,5:00 PM,6:00 PM,Colorado Avalanche,7,Florida Panthers,4,Regulation
2024-11-23,6:00 PM,7:00 PM,Vegas Golden Knights,6,Montreal Canadiens,2,Regulation
2024-11-23,6:00 PM,7:00 PM,Vancouver Canucks,4,Ottawa Senators,3,Regulation
2024-11-23,6:00 PM,7:00 PM,Boston Bruins,2,Detroit Red Wings,1,Regulation
2024-11-23,6:00 PM,7:00 PM,Dallas Stars,4,Tampa Bay Lightning,2,Regulation
2024-11-23,6:00 PM,7:00 PM,Utah Hockey Club,6,Pittsburgh Penguins,1,Regulation
2024-11-23,6:00 PM,7:00 PM,New Jersey Devils,3,Washington Capitals,2,Regulation
2024-11-23,6:00 PM,7:00 PM,Carolina Hurricanes,4,Columbus Blue Jackets,5,SO
2024-11-23,6:00 PM,7:00 PM,Winnipeg Jets,1,Nashville Predators,4,Regulation
2024-11-23,6:30 PM,7:30 PM,St. Louis Blues,1,New York Islanders,3,Regulation
2024-11-23,7:00 PM,8:00 PM,Buffalo Sabres,4,San Jose Sharks,2,Regulation
2024-11-23,9:00 PM,10:00 PM,New York Rangers,2,Edmonton Oilers,6,Regulation
2024-11-24,6:00 PM,7:00 PM,Utah Hockey Club,2,Toronto Maple Leafs,3,Regulation
2024-11-25,6:00 PM,7:00 PM,Colorado Avalanche,2,Tampa Bay Lightning,8,Regulation
2024-11-25,6:00 PM,7:00 PM,Washington Capitals,4,Florida Panthers,1,Regulation
2024-11-25,6:00 PM,7:00 PM,Nashville Predators,2,New Jersey Devils,5,Regulation
2024-11-25,6:00 PM,7:00 PM,St. Louis Blues,5,New York Rangers,2,Regulation
2024-11-25,6:00 PM,7:00 PM,Vegas Golden Knights,5,Philadelphia Flyers,4,SO
2024-11-25,6:00 PM,7:00 PM,Dallas Stars,4,Carolina Hurricanes,6,Regulation
2024-11-25,6:30 PM,7:30 PM,Calgary Flames,3,Ottawa Senators,4,Regulation
2024-11-25,6:30 PM,7:30 PM,Detroit Red Wings,4,New York Islanders,2,Regulation
2024-11-25,7:00 PM,8:00 PM,Winnipeg Jets,4,Minnesota Wild,1,Regulation
2024-11-25,9:00 PM,10:00 PM,Seattle Kraken,3,Anaheim Ducks,2,Regulation
2024-11-25,9:30 PM,10:30 PM,Los Angeles Kings,2,San Jose Sharks,7,Regulation
2024-11-26,6:00 PM,7:00 PM,Vancouver Canucks,2,Boston Bruins,0,Regulation
2024-11-26,6:00 PM,7:00 PM,Utah Hockey Club,3,Montreal Canadiens,2,OT
2024-11-27,6:00 PM,7:00 PM,Minnesota Wild,1,Buffalo Sabres,0,Regulation
2024-11-27,6:00 PM,7:00 PM,St. Louis Blues,3,New Jersey Devils,0,Regulation
2024-11-27,6:00 PM,7:00 PM,New York Rangers,3,Carolina Hurricanes,4,Regulation
2024-11-27,6:30 PM,7:30 PM,Calgary Flames,1,Detroit Red Wings,2,OT
2024-11-27,6:30 PM,7:30 PM,Washington Capitals,5,Tampa Bay Lightning,4,Regulation
2024-11-27,6:30 PM,7:30 PM,Toronto Maple Leafs,1,Florida Panthers,5,Regulation
2024-11-27,6:30 PM,7:30 PM,Boston Bruins,6,New York Islanders,3,Regulation
2024-11-27,6:30 PM,7:30 PM,Vancouver Canucks,4,Pittsburgh Penguins,5,Regulation
2024-11-27,6:30 PM,7:30 PM,Montreal Canadiens,4,Columbus Blue Jackets,3,OT
2024-11-27,7:00 PM,8:00 PM,Philadelphia Flyers,3,Nashville Predators,2,OT
2024-11-27,7:30 PM,8:30 PM,Dallas Stars,2,Chicago Blackhawks,6,Regulation
2024-11-27,9:00 PM,10:00 PM,Vegas Golden Knights,1,Colorado Avalanche,2,SO
2024-11-27,9:00 PM,10:00 PM,Winnipeg Jets,1,Los Angeles Kings,4,Regulation
2024-11-27,9:00 PM,10:00 PM,Anaheim Ducks,5,Seattle Kraken,2,Regulation
2024-11-27,9:30 PM,10:30 PM,Ottawa Senators,4,San Jose Sharks,3,Regulation
2024-11-29,12:00 PM,1:00 PM,New York Rangers,1,Philadelphia Flyers,3,Regulation
2024-11-29,1:00 PM,2:00 PM,Chicago Blackhawks,2,Minnesota Wild,3,Regulation
2024-11-29,2:00 PM,3:00 PM,Vancouver Canucks,4,Buffalo Sabres,3,OT
2024-11-29,2:00 PM,3:00 PM,New Jersey Devils,5,Detroit Red Wings,4,Regulation
2024-11-29,2:00 PM,3:00 PM,New York Islanders,4,Washington Capitals,5,OT
2024-11-29,2:00 PM,3:00 PM,Florida Panthers,6,Carolina Hurricanes,3,Regulation
2024-11-29,2:00 PM,3:00 PM,Calgary Flames,2,Columbus Blue Jackets,5,Regulation
2024-11-29,2:00 PM,3:00 PM,Tampa Bay Lightning,3,Nashville Predators,2,OT
2024-11-29,2:30 PM,3:30 PM,Los Angeles Kings,2,Anaheim Ducks,1,Regulation
2024-11-29,2:30 PM,3:30 PM,Seattle Kraken,5,San Jose Sharks,8,Regulation
2024-11-29,5:30 PM,6:30 PM,Pittsburgh Penguins,2,Boston Bruins,1,Regulation
2024-11-29,7:30 PM,8:30 PM,Winnipeg Jets,3,Vegas Golden Knights,4,Regulation
2024-11-29,8:00 PM,9:00 PM,Colorado Avalanche,3,Dallas Stars,5,Regulation
2024-11-29,8:00 PM,9:00 PM,Edmonton Oilers,4,Utah Hockey Club,3,OT
2024-11-30,12:00 PM,1:00 PM,Montreal Canadiens,3,New York Rangers,4,Regulation
2024-11-30,3:00 PM,4:00 PM,Carolina Hurricanes,0,Florida Panthers,6,Regulation
2024-11-30,6:00 PM,7:00 PM,Toronto Maple Leafs,5,Tampa Bay Lightning,3,Regulation
2024-11-30,6:00 PM,7:00 PM,Washington Capitals,6,New Jersey Devils,5,Regulation
2024-11-30,6:00 PM,7:00 PM,Calgary Flames,2,Pittsburgh Penguins,6,Regulation
2024-11-30,6:00 PM,7:00 PM,Philadelphia Flyers,3,St. Louis Blues,2,OT
2024-11-30,6:00 PM,7:00 PM,Ottawa Senators,2,Los Angeles Kings,5,Regulation
2024-11-30,6:30 PM,7:30 PM,Buffalo Sabres,0,New York Islanders,3,Regulation
2024-11-30,7:00 PM,8:00 PM,Nashville Predators,2,Minnesota Wild,3,OT
2024-11-30,9:00 PM,10:00 PM,Edmonton Oilers,4,Colorado Avalanche,1,Regulation
2024-11-30,9:00 PM,10:00 PM,Utah Hockey Club,6,Vegas Golden Knights,0,Regulation
2024-11-30,9:00 PM,10:00 PM,San Jose Sharks,4,Seattle Kraken,2,Regulation
2024-12-01,11:30 AM,12:30 PM,Vancouver Canucks,5,Detroit Red Wings,4,OT
2024-12-01,2:00 PM,3:00 PM,Montreal Canadiens,3,Boston Bruins,6,Regulation
2024-12-01,2:00 PM,3:00 PM,Columbus Blue Jackets,6,Chicago Blackhawks,3,Regulation
2024-12-01,3:30 PM,4:30 PM,Winnipeg Jets,1,Dallas Stars,3,Regulation
2024-12-01,7:00 PM,8:00 PM,Ottawa Senators,3,Anaheim Ducks,4,SO
2024-12-02,6:00 PM,7:00 PM,New Jersey Devils,5,New York Rangers,1,Regulation
2024-12-02,6:30 PM,7:30 PM,Chicago Blackhawks,1,Toronto Maple Leafs,4,Regulation
2024-12-02,8:00 PM,9:00 PM,Dallas Stars,2,Utah Hockey Club,1,Regulation
2024-12-03,6:00 PM,7:00 PM,Detroit Red Wings,2,Boston Bruins,3,OT
2024-12-03,6:00 PM,7:00 PM,Colorado Avalanche,5,Buffalo Sabres,4,Regulation
2024-12-03,6:00 PM,7:00 PM,New York Islanders,1,Montreal Canadiens,2,OT
2024-12-03,6:00 PM,7:00 PM,Florida Panthers,4,Pittsburgh Penguins,5,OT
2024-12-03,6:00 PM,7:00 PM,San Jose Sharks,2,Washington Capitals,1,OT
2024-12-03,6:00 PM,7:00 PM,Seattle Kraken,4,Carolina Hurricanes,2,Regulation
2024-12-03,7:00 PM,8:00 PM,Vancouver Canucks,2,Minnesota Wild,3,OT
2024-12-03,7:00 PM,8:00 PM,St. Louis Blues,4,Winnipeg Jets,1,Regulation
2024-12-03,8:00 PM,9:00 PM,Columbus Blue Jackets,0,Calgary Flames,3,Regulation
2024-12-03,9:00 PM,10:00 PM,Edmonton Oilers,0,Vegas Golden Knights,1,Regulation
2024-12-04,6:30 PM,7:30 PM,Nashville Predators,2,Toronto Maple Leafs,3,Regulation
2024-12-04,6:30 PM,7:30 PM,Boston Bruins,4,Chicago Blackhawks,2,Regulation
2024-12-04,9:00 PM,10:00 PM,Vegas Golden Knights,4,Anaheim Ducks,1,Regulation
2024-12-04,9:00 PM,10:00 PM,Dallas Stars,2,Los Angeles Kings,3,Regulation
2024-12-05,6:00 PM,7:00 PM,Winnipeg Jets,3,Buffalo Sabres,2,OT
2024-12-05,6:00 PM,7:00 PM,Nashville Predators,0,Montreal Canadiens,3,Regulation
2024-12-05,6:00 PM,7:00 PM,Detroit Red Wings,1,Ottawa Senators,2,Regulation
2024-12-05,6:00 PM,7:00 PM,San Jose Sharks,1,Tampa Bay Lightning,8,Regulation
2024-12-05,6:00 PM,7:00 PM,Florida Panthers,7,Philadelphia Flyers,5,Regulation
2024-12-05,6:00 PM,7:00 PM,Colorado Avalanche,3,Carolina Hurricanes,5,Regulation
2024-12-05,6:30 PM,7:30 PM,Seattle Kraken,5,New York Islanders,2,Regulation
2024-12-05,8:00 PM,9:00 PM,St. Louis Blues,4,Calgary Flames,3,OT
2024-12-05,8:00 PM,9:00 PM,Columbus Blue Jackets,3,Edmonton Oilers,6,Regulation
2024-12-06,6:00 PM,7:00 PM,Washington Capitals,3,Toronto Maple Leafs,1,Regulation
2024-12-06,6:00 PM,7:00 PM,Seattle Kraken,2,New Jersey Devils,3,Regulation
2024-12-06,6:30 PM,7:30 PM,Pittsburgh Penguins,2,New York Rangers,4,Regulation
2024-12-06,9:00 PM,10:00 PM,Columbus Blue Jackets,2,Vancouver Canucks,5,Regulation
2024-12-06,9:00 PM,10:00 PM,Dallas Stars,2,Vegas Golden Knights,3,Regulation
2024-12-06,9:00 PM,10:00 PM,Minnesota Wild,5,Anaheim Ducks,1,Regulation
2024-12-07,12:00 PM,1:00 PM,Philadelphia Flyers,3,Boston Bruins,4,OT
2024-12-07,12:00 PM,1:00 PM,Utah Hockey Club,5,Buffalo Sabres,2,Regulation
2024-12-07,3:00 PM,4:00 PM,Winnipeg Jets,4,Chicago Blackhawks,2,Regulation
2024-12-07,4:00 PM,5:00 PM,Carolina Hurricanes,3,New York Islanders,4,Regulation
2024-12-07,5:00 PM,6:00 PM,San Jose Sharks,1,Florida Panthers,3,Regulation
2024-12-07,6:00 PM,7:00 PM,Washington Capitals,4,Montreal Canadiens,2,Regulation
2024-12-07,6:00 PM,7:00 PM,Nashville Predators,1,Ottawa Senators,3,Regulation
2024-12-07,6:00 PM,7:00 PM,Colorado Avalanche,2,Detroit Red Wings,1,Regulation
2024-12-07,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Pittsburgh Penguins,5,Regulation
2024-12-07,7:00 PM,8:00 PM,Minnesota Wild,1,Los Angeles Kings,4,Regulation
2024-12-07,9:00 PM,10:00 PM,St. Louis Blues,2,Edmonton Oilers,4,Regulation
2024-12-08,12:00 PM,1:00 PM,Seattle Kraken,7,New York Rangers,5,Regulation
2024-12-08,3:00 PM,4:00 PM,Tampa Bay Lightning,4,Vancouver Canucks,2,Regulation
2024-12-08,4:00 PM,5:00 PM,New York Islanders,4,Ottawa Senators,2,Regulation
2024-12-08,5:00 PM,6:00 PM,Columbus Blue Jackets,4,Winnipeg Jets,1,Regulation
2024-12-08,6:00 PM,7:00 PM,Colorado Avalanche,4,New Jersey Devils,0,Regulation
2024-12-08,6:30 PM,7:30 PM,Utah Hockey Club,4,Philadelphia Flyers,2,Regulation
2024-12-08,7:00 PM,8:00 PM,Calgary Flames,2,Dallas Stars,6,Regulation
2024-12-09,6:00 PM,7:00 PM,Detroit Red Wings,6,Buffalo Sabres,5,SO
2024-12-09,6:00 PM,7:00 PM,Chicago Blackhawks,2,New York Rangers,1,Regulation
2024-12-09,6:30 PM,7:30 PM,Anaheim Ducks,2,Montreal Canadiens,3,SO
2024-12-10,6:00 PM,7:00 PM,Toronto Maple Leafs,2,New Jersey Devils,1,OT
2024-12-10,6:00 PM,7:00 PM,Colorado Avalanche,6,Pittsburgh Penguins,2,Regulation
2024-12-10,6:00 PM,7:00 PM,San Jose Sharks,2,Carolina Hurricanes,3,Regulation
2024-12-10,6:00 PM,7:00 PM,Philadelphia Flyers,5,Columbus Blue Jackets,3,Regulation
2024-12-10,6:30 PM,7:30 PM,Los Angeles Kings,3,New York Islanders,1,Regulation
2024-12-10,7:00 PM,8:00 PM,Calgary Flames,4,Nashville Predators,3,Regulation
2024-12-10,7:00 PM,8:00 PM,Boston Bruins,1,Winnipeg Jets,8,Regulation
2024-12-10,8:00 PM,9:00 PM,Tampa Bay Lightning,1,Edmonton Oilers,2,Regulation
2024-12-10,8:30 PM,9:30 PM,Minnesota Wild,5,Utah Hockey Club,4,SO
2024-12-10,9:00 PM,10:00 PM,St. Louis Blues,4,Vancouver Canucks,3,OT
2024-12-10,9:00 PM,10:00 PM,Florida Panthers,2,Seattle Kraken,1,SO
2024-12-11,6:00 PM,7:00 PM,New York Rangers,3,Buffalo Sabres,2,Regulation
2024-12-11,6:30 PM,7:30 PM,Anaheim Ducks,1,Ottawa Senators,5,Regulation
2024-12-12,6:00 PM,7:00 PM,Anaheim Ducks,2,Toronto Maple Leafs,3,Regulation
2024-12-12,6:00 PM,7:00 PM,Pittsburgh Penguins,9,Montreal Canadiens,2,Regulation
2024-12-12,6:00 PM,7:00 PM,Los Angeles Kings,1,New Jersey Devils,3,Regulation
2024-12-12,6:00 PM,7:00 PM,Detroit Red Wings,1,Philadelphia Flyers,4,Regulation
2024-12-12,6:00 PM,7:00 PM,Washington Capitals,2,Columbus Blue Jackets,1,OT
2024-12-12,6:30 PM,7:30 PM,Chicago Blackhawks,4,New York Islanders,5,Regulation
2024-12-12,7:00 PM,8:00 PM,San Jose Sharks,4,St. Louis Blues,3,Regulation
2024-12-12,7:00 PM,8:00 PM,Nashville Predators,4,Dallas Stars,1,Regulation
2024-12-12,7:00 PM,8:00 PM,Vegas Golden Knights,3,Winnipeg Jets,2,OT
2024-12-12,7:30 PM,8:30 PM,Edmonton Oilers,7,Minnesota Wild,1,Regulation
2024-12-12,8:00 PM,9:00 PM,Utah Hockey Club,4,Colorado Avalanche,1,Regulation
2024-12-12,8:00 PM,9:00 PM,Tampa Bay Lightning,8,Calgary Flames,3,Regulation
2024-12-12,9:00 PM,10:00 PM,Florida Panthers,0,Vancouver Canucks,4,Regulation
2024-12-12,9:00 PM,10:00 PM,Boston Bruins,1,Seattle Kraken,5,Regulation
2024-12-13,6:00 PM,7:00 PM,Ottawa Senators,3,Carolina Hurricanes,0,Regulation
2024-12-14,12:00 PM,1:00 PM,Chicago Blackhawks,1,New Jersey Devils,4,Regulation
2024-12-14,12:00 PM,1:00 PM,Los Angeles Kings,5,New York Rangers,1,Regulation
2024-12-14,1:00 PM,2:00 PM,Philadelphia Flyers,1,Minnesota Wild,4,Regulation
2024-12-14,3:00 PM,4:00 PM,Vegas Golden Knights,3,Edmonton Oilers,6,Regulation
2024-12-14,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Ottawa Senators,3,OT
2024-12-14,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Detroit Red Wings,4,Regulation
2024-12-14,6:00 PM,7:00 PM,Buffalo Sabres,2,Washington Capitals,4,Regulation
2024-12-14,6:00 PM,7:00 PM,Anaheim Ducks,4,Columbus Blue Jackets,3,OT
2024-12-14,6:00 PM,7:00 PM,Montreal Canadiens,2,Winnipeg Jets,4,Regulation
2024-12-14,7:00 PM,8:00 PM,St. Louis Blues,1,Dallas Stars,2,OT
2024-12-14,8:00 PM,9:00 PM,Nashville Predators,2,Colorado Avalanche,5,Regulation
2024-12-14,9:00 PM,10:00 PM,Florida Panthers,0,Calgary Flames,3,Regulation
2024-12-14,9:00 PM,10:00 PM,Boston Bruins,5,Vancouver Canucks,1,Regulation
2024-12-14,9:00 PM,10:00 PM,Utah Hockey Club,4,San Jose Sharks,3,Regulation
2024-12-14,9:00 PM,10:00 PM,Tampa Bay Lightning,5,Seattle Kraken,1,Regulation
2024-12-15,2:00 PM,3:00 PM,New York Islanders,3,Chicago Blackhawks,5,Regulation
2024-12-15,4:00 PM,5:00 PM,Buffalo Sabres,3,Toronto Maple Leafs,5,Regulation
2024-12-15,4:00 PM,5:00 PM,Columbus Blue Jackets,1,Carolina Hurricanes,4,Regulation
2024-12-15,5:00 PM,6:00 PM,New York Rangers,2,St. Louis Blues,3,Regulation
2024-12-15,5:00 PM,6:00 PM,Vegas Golden Knights,3,Minnesota Wild,2,Regulation
2024-12-16,7:00 PM,8:00 PM,Washington Capitals,,Dallas Stars,,Scheduled
2024-12-16,7:30 PM,8:30 PM,Florida Panthers,,Edmonton Oilers,,Scheduled
2024-12-16,9:30 PM,10:30 PM,Colorado Avalanche,,Vancouver Canucks,,Scheduled
2024-12-17,6:00 PM,7:00 PM,Buffalo Sabres,,Montreal Canadiens,,Scheduled
2024-12-17,6:00 PM,7:00 PM,Columbus Blue Jackets,,Tampa Bay Lightning,,Scheduled
2024-12-17,6:00 PM,7:00 PM,Los Angeles Kings,,Pittsburgh Penguins,,Scheduled
2024-12-17,6:30 PM,7:30 PM,New York Islanders,,Carolina Hurricanes,,Scheduled
2024-12-17,7:00 PM,8:00 PM,New Jersey Devils,,St. Louis Blues,,Scheduled
2024-12-17,7:00 PM,8:00 PM,New York Rangers,,Nashville Predators,,Scheduled
2024-12-17,7:30 PM,8:30 PM,Washington Capitals,,Chicago Blackhawks,,Scheduled
2024-12-17,8:00 PM,9:00 PM,Boston Bruins,,Calgary Flames,,Scheduled
2024-12-17,9:00 PM,10:00 PM,Ottawa Senators,,Seattle Kraken,,Scheduled
2024-12-17,9:30 PM,10:30 PM,Winnipeg Jets,,San Jose Sharks,,Scheduled
2024-12-18,6:00 PM,7:00 PM,Philadelphia Flyers,,Detroit Red Wings,,Scheduled
2024-12-18,6:30 PM,7:30 PM,Toronto Maple Leafs,,Dallas Stars,,Scheduled
2024-12-18,8:30 PM,9:30 PM,Florida Panthers,,Minnesota Wild,,Scheduled
2024-12-18,9:00 PM,10:00 PM,Vancouver Canucks,,Utah Hockey Club,,Scheduled
2024-12-18,9:00 PM,10:00 PM,Winnipeg Jets,,Anaheim Ducks,,Scheduled
2024-12-19,6:00 PM,7:00 PM,St. Louis Blues,,Tampa Bay Lightning,,Scheduled
2024-12-19,6:00 PM,7:00 PM,New Jersey Devils,,Columbus Blue Jackets,,Scheduled
2024-12-19,6:30 PM,7:30 PM,Los Angeles Kings,,Philadelphia Flyers,,Scheduled
2024-12-19,7:00 PM,8:00 PM,Pittsburgh Penguins,,Nashville Predators,,Scheduled
2024-12-19,7:30 PM,8:30 PM,Seattle Kraken,,Chicago Blackhawks,,Scheduled
2024-12-19,8:00 PM,9:00 PM,Ottawa Senators,,Calgary Flames,,Scheduled
2024-12-19,8:00 PM,9:00 PM,Boston Bruins,,Edmonton Oilers,,Scheduled
2024-12-19,9:00 PM,10:00 PM,Vancouver Canucks,,Vegas Golden Knights,,Scheduled
